antecedent,consequent,support,confidence,lift
"headache, nausea",vomiting,0.10975609756097561,1.0,2.4117647058823533
"chills, fatigue",fever,0.12195121951219512,1.0,3.2800000000000002
"loss of appetite, yellowish skin",yellowing of eyes,0.13414634146341464,1.0,5.857142857142857
"yellowing of eyes, yellowish skin",loss of appetite,0.13414634146341464,1.0,4.315789473684211
"yellowish skin, vomiting",abdominal pain,0.13414634146341464,1.0,3.727272727272727
"yellowish skin, abnormal urine",abdominal pain,0.10975609756097561,1.0,3.727272727272727
"fever, nausea",vomiting,0.10975609756097561,1.0,2.4117647058823533
"nausea, abdominal pain",vomiting,0.10975609756097561,1.0,2.4117647058823533
"loss of appetite, yellowing of eyes, abdominal pain",yellowish skin,0.10975609756097561,1.0,5.466666666666667
"yellowing of eyes, yellowish skin, abdominal pain",loss of appetite,0.10975609756097561,1.0,4.315789473684211
"loss of appetite, yellowish skin, abdominal pain",yellowing of eyes,0.10975609756097561,1.0,5.857142857142857
yellowing of eyes,loss of appetite,0.15853658536585366,0.9285714285714285,4.007518796992481
"chills, fever",fatigue,0.12195121951219512,0.9090909090909091,2.3295454545454546
"yellowing of eyes, abdominal pain",loss of appetite,0.10975609756097561,0.9,3.8842105263157896
"abnormal urine, abdominal pain",yellowish skin,0.10975609756097561,0.9,4.92
"chills, pain",fever,0.10975609756097561,0.9,2.952
"yellowing of eyes, abdominal pain",yellowish skin,0.10975609756097561,0.9,4.92
"yellowing of eyes, vomiting",loss of appetite,0.10975609756097561,0.9,3.8842105263157896
"yellowing of eyes, fatigue",loss of appetite,0.10975609756097561,0.9,3.8842105263157896
"yellowing of eyes, abdominal pain","loss of appetite, yellowish skin",0.10975609756097561,0.9,6.709090909090909
nausea,vomiting,0.2073170731707317,0.894736842105263,2.1578947368421053
yellowish skin,abdominal pain,0.15853658536585366,0.8666666666666667,3.23030303030303
"loss of appetite, yellowing of eyes",yellowish skin,0.13414634146341464,0.8461538461538461,4.625641025641026
"yellowish skin, abdominal pain",vomiting,0.13414634146341464,0.8461538461538461,2.040723981900453
abnormal urine,abdominal pain,0.12195121951219512,0.8333333333333334,3.106060606060606
abdominal pain,vomiting,0.21951219512195122,0.8181818181818181,1.9732620320855614
"headache, vomiting",nausea,0.10975609756097561,0.8181818181818181,3.531100478468899
"loss of appetite, abdominal pain",yellowing of eyes,0.10975609756097561,0.8181818181818181,4.792207792207791
"loss of appetite, yellowish skin",abdominal pain,0.10975609756097561,0.8181818181818181,3.0495867768595035
"loss of appetite, abdominal pain",yellowish skin,0.10975609756097561,0.8181818181818181,4.472727272727273
"loss of appetite, abdominal pain",vomiting,0.10975609756097561,0.8181818181818181,1.9732620320855614
"fever, chills",pain,0.10975609756097561,0.8181818181818181,3.0495867768595035
"fever, pain",chills,0.10975609756097561,0.8181818181818181,4.792207792207791
"yellowing of eyes, yellowish skin",abdominal pain,0.10975609756097561,0.8181818181818181,3.0495867768595035
"fatigue, nausea",vomiting,0.10975609756097561,0.8181818181818181,1.9732620320855614
"yellowing of eyes, yellowish skin","loss of appetite, abdominal pain",0.10975609756097561,0.8181818181818181,6.099173553719007
"loss of appetite, abdominal pain","yellowing of eyes, yellowish skin",0.10975609756097561,0.8181818181818181,6.099173553719007
"loss of appetite, yellowish skin","yellowing of eyes, abdominal pain",0.10975609756097561,0.8181818181818181,6.709090909090909
"loss of appetite, yellowing of eyes, yellowish skin",abdominal pain,0.10975609756097561,0.8181818181818181,3.0495867768595035
yellowing of eyes,yellowish skin,0.13414634146341464,0.7857142857142857,4.295238095238095
chills,fever,0.13414634146341464,0.7857142857142857,2.577142857142857
yellowing of eyes,"loss of appetite, yellowish skin",0.13414634146341464,0.7857142857142857,5.857142857142857
abnormal urine,yellowish skin,0.10975609756097561,0.75,4.1000000000000005
abnormal urine,"yellowish skin, abdominal pain",0.10975609756097561,0.75,4.730769230769231
yellowish skin,vomiting,0.13414634146341464,0.7333333333333334,1.7686274509803923
